Date,Open,High,Low,Close,Volume
1997-08-31,1594.67,1638.26,1545.13,1587.32,12481009200
1997-09-30,1595.07,1702.49,1595.07,1685.69,13652539500
1997-10-31,1690.79,1748.78,1465.84,1593.61,17531420700
1997-11-30,1609.62,1654.43,1508.41,1600.55,10869505200
1997-12-31,1608.56,1652.84,1486.51,1570.35,13881747300
1998-01-31,1574.1,1629.54,1465.61,1619.36,12776414400
1998-02-28,1640.06,1783.74,1640.06,1770.51,13544650200
1998-03-31,1778.72,1840.83,1708.48,1835.68,15785262000
1998-04-30,1838.15,1931.83,1788.74,1868.41,16082006400
1998-05-31,1871.81,1890.8,1742.05,1778.87,13371326100
1998-06-30,1770.37,1898.62,1715.04,1894.74,14786358300
1998-07-31,1904.24,2028.18,1871.72,1872.39,16365628500
1998-08-31,1869.72,1874.31,1498.73,1499.25,14643910200
1998-09-30,1509.01,1769.71,1475.49,1693.84,14772166500
1998-10-31,1663.3,1781.63,1343.87,1771.39,18040019100
1998-11-30,1783.71,2025.04,1771.4,1949.54,16458823800
1998-12-31,1928.51,2200.63,1924.15,2192.69,17740373100
1999-01-31,2207.54,2506.68,2192.68,2505.89,19089235800
1999-02-28,2522.38,2533.44,2224.21,2288.03,16218502500
1999-03-31,2286.83,2520.63,2235.19,2461.4,19712577600
1999-04-30,2493.07,2677.76,2329.87,2542.86,21786552000
1999-05-31,2546.33,2632.74,2339.12,2470.52,17223032700
1999-06-30,2467.51,2696.87,2364.59,2686.12,18235430700
1999-07-31,2692.96,2874.92,2619.08,2638.49,19451563800
1999-08-31,2638.31,2819.9,2442.22,2739.35,18829440300
1999-09-30,2752.33,2897.53,2684.7,2746.16,19840145700
1999-10-31,2729.04,2978.63,2632.01,2966.43,21097022100
1999-11-30,2970.93,3469.35,2967.63,3336.16,26741266500
1999-12-31,3341.1,4090.61,3321.57,4069.31,29049675300
2000-01-31,4186.19,4303.15,3711.09,3940.35,31081585800
2000-02-29,3961.07,4698.46,3911.84,4696.69,33149571000
2000-03-31,4732.82,5132.52,4355.69,4572.83,40176455700
2000-04-30,4494.89,4572.84,3227.04,3860.66,32687612100
2000-05-31,3930.18,3982.38,3042.66,3400.91,28673741400
2000-06-30,3471.95,4073.73,3459.85,3966.11,31017713400
2000-07-31,3950.59,4289.06,3615.79,3766.99,28751982300
2000-08-31,3760.95,4208.73,3521.14,4206.35,30897315600
2000-09-30,4252.15,4259.87,3614.66,3672.82,32296416900
2000-10-31,3714.48,3714.48,3026.11,3369.63,41039979300
2000-11-30,3316.51,3480.01,2523.04,2597.93,35509176300
2000-12-31,2644.09,3028.75,2288.16,2470.52,41242886700
2001-01-31,2474.16,2892.36,2251.71,2772.73,45941795400
2001-02-28,2771.57,2796.89,2127.5,2151.83,33878077200
2001-03-31,2126.3,2243.78,1794.21,1840.26,41588911800
2001-04-30,1835.22,2202.86,1619.58,2116.24,39664462800
2001-05-31,2116.24,2328.05,2052.41,2110.5,38563147500
2001-06-30,2131.12,2264.58,1973.7,2160.54,34016963400
2001-07-31,2156.76,2181.05,1934.67,2027.12,30515652900
2001-08-31,2051.56,2103.16,1777.11,1805.43,30166735500
2001-09-30,1802.29,1836.19,1387.06,1498.8,28671388500
2001-10-31,1491.45,1792.87,1458.41,1690.2,40813877700
2001-11-30,1705.52,1965.09,1683.99,1930.58,35641998900
2001-12-31,1915.13,2065.69,1898.98,1950.4,33051623400
2002-01-31,1965.18,2098.88,1851.49,1934.06,36359261400
2002-02-28,1928.83,1942.15,1696.55,1731.49,31641101700
2002-03-31,1745.49,1946.23,1742.08,1858.25,33744371100
2002-04-30,1834.59,1865.37,1640.97,1688.23,35943114300
2002-05-31,1683.76,1759.33,1560.29,1615.73,37016613300
2002-06-30,1613.5,1621.5,1375.53,1463.21,34073553900
2002-07-31,1457.04,1459.84,1192.42,1328.26,42071033100
2002-08-31,1322.47,1426.76,1205.68,1314.85,29286406800
2002-09-30,1302.67,1347.27,1160.07,1172.06,26997602400
2002-10-31,1180.26,1347.58,1108.49,1329.75,36019048800
2002-11-30,1320.95,1497.44,1313.72,1478.78,33176494500
2002-12-31,1507.94,1521.44,1327.19,1335.51,27084045900
2003-01-31,1346.93,1467.35,1303.64,1320.91,28735167900
2003-02-28,1324.74,1352.07,1261.79,1337.52,22667857200
2003-03-31,1344.21,1425.73,1253.22,1341.17,28957400700
2003-04-30,1347.54,1482.49,1338.23,1464.31,28608129900
2003-05-31,1463,1599.92,1451.32,1595.91,35733678300
2003-06-30,1612.1,1686.1,1584.7,1622.8,38289020700
